School,ID,Diploma_Honors,Diploma_Core40,Diploma_General,Waiver_Yes,Waiver_No,AP_Passed,AP_NotPassed,AP_NotTaken,DualCredit_Yes,DualCredit_No,21Century_Yes,21Century_No,LunchFR_Yes,LunchFR_No,Race_White,Race_Black,Race_Hispanic,Race_Asian,Race_Other
SetonCatholicHighSchool,D842,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
SeymourChristianAcademy,B455,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
SeymourSeniorHighSchool,3133,96,118,81,34,261,42,37,216,209,86,,235,117,178,249,6,23,4,13
ShakamakJrSrHighSchool,2445,18,29,10,2,55,0,8,49,40,17,,44,22,35,56,0,1,0,0
ShaweMemorialHighSchool,B505,13,9,1,2,21,5,7,11,18,5,2,21,6,17,20,0,3,0,0
ShenandoahHighSchool,2817,32,49,4,1,84,15,13,57,48,37,,65,29,56,84,1,0,0,0
SheridanHighSchool,2463,27,47,10,7,77,6,14,64,45,39,,69,19,65,82,0,1,0,1
ShoalsCommJrSrHighSch,5985,10,19,10,2,37,2,2,35,16,23,,27,16,23,37,0,0,1,1
ShortridgeHighSchool,5485,9,67,1,7,70,5,33,39,11,66,,41,61,16,7,51,11,1,7
SignatureSchoolInc,8295,73,2,0,0,75,69,6,0,0,75,6,69,8,67,58,3,4,7,3
SilverCreekHighSchool,0777,82,79,30,13,178,10,19,162,146,45,,174,49,142,181,1,2,1,6
